제품명,브랜드,AI여부,CPU브랜드,CPU등급,그래픽,RAM(GB),배터리용량,무게(kg),화면크기(인치),가격,리뷰수,용도,용도_게임용,용도_그래픽작업용,용도_사무,용도_휴대용,has_rating,별점,외장그래픽,등록일,등록_경과월,Cluster,OS_프리도스,OS_윈도우11,OS_macOS
ASUS TUF Gaming A14 FA401UM-RG007,ASUS,1,AMD,7,외장,32.0,73.0,1.46,14.0,2112000,2,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,4.5,1,25.06.,9,5,1,0,0
레노버 씽크북 16 Gen6 ABP 21KK004NKR WIN11,레노버,0,AMD,5,내장,16.0,71.0,1.7,16.0,1459980,1,사무,0,0,1,0,1,5.0,0,23.12.,27,4,0,1,0
LG전자 2026 그램14 14Z90U-GS59K,LG전자,1,인텔,5,내장,32.0,72.0,1.12,14.0,2474780,0,사무,0,0,1,0,0,0.0,0,26.02.,1,1,0,1,0
삼성전자 갤럭시북6 울트라 NT960UJH-XD72Y,삼성전자,1,인텔,7,외장,32.0,80.2,1.89,16.0,4945940,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,26.01.,2,0,0,1,0
LG전자 2024 그램17 17ZD90SU-GXF6K,LG전자,1,인텔,5,내장,8.0,77.0,1.39,17.0,1556910,0,사무,0,0,1,0,0,0.0,0,25.02.,13,1,1,0,0
레노버 씽크패드 E16 G3 U7 AI W11 32GB램,레노버,1,인텔,7,내장,32.0,64.0,1.63,16.0,2190000,0,사무,0,0,1,0,0,0.0,0,25.07.,8,1,0,1,0
MSI 벡터 16 HX AI A2XWIG-U9 QHD+,MSI,1,인텔,9,외장,16.0,90.0,2.7,16.0,3449000,24,"게임용 , 그래픽작업용",1,1,0,0,1,4.9,1,25.04.,11,5,1,0,0
"APPLE 맥북프로14 M5프로 15코어 CPU, 16코어 GPU 실버",APPLE,0,APPLE,9,내장,24.0,72.4,1.6,14.2,3489890,0,그래픽작업용,0,1,0,0,0,0.0,0,26.03.,0,1,0,0,1
삼성전자 갤럭시북6 프로 NT940XJG-KD72G,삼성전자,1,인텔,7,내장,32.0,67.18,1.24,14.0,3100000,2,사무,0,0,1,0,1,5.0,0,26.01.,2,4,0,1,0
MSI 소드 GF76 HX B14WGK-i9 QHD,MSI,0,인텔,9,외장,16.0,75.0,2.7,17.3,2096700,46,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.06.,9,3,1,0,0
LG전자 2025 그램 프로16 16Z90TR-ED7WK,LG전자,1,인텔,7,외장,32.0,90.0,1.36,16.0,3182630,97,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,1,4.9,1,25.08.,7,0,0,1,0
"APPLE 맥북프로14 M5 10코어 CPU, 10코어 GPU 블랙",APPLE,0,APPLE,7,내장,16.0,72.4,1.55,14.2,2501690,2,그래픽작업용,0,1,0,0,1,5.0,0,25.11.,4,4,0,0,1
ASUS 젠북 S 16 UM5606GA-SR178W,ASUS,1,AMD,7,내장,32.0,83.0,1.5,16.0,2482100,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11 32GB램,MSI,1,AMD,7,외장,32.0,53.5,2.7,17.3,1933270,51,게임용,1,0,0,0,1,4.8,1,24.04.,23,0,0,1,0
에이서 프레데터 헬리오스 네오 16S 슬림 AI PHN16S-71-97L7,에이서,1,인텔,9,외장,32.0,76.0,2.15,16.0,2735000,5,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.07.,8,5,1,0,0
에이서 프레데터 헬리오스 네오 16 AI PHN16-73-90EL,에이서,1,인텔,9,외장,32.0,90.0,2.45,16.0,2642000,8,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,25.07.,8,5,1,0,0
삼성전자 갤럭시북6 프로 NT960XJG-KD72G,삼성전자,1,인텔,7,내장,32.0,78.07,1.59,16.0,3460670,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
"APPLE 맥북프로14 M5프로 15코어 CPU, 16코어 GPU 블랙",APPLE,0,APPLE,9,내장,24.0,72.4,1.6,14.2,3420200,0,그래픽작업용,0,1,0,0,0,0.0,0,26.03.,0,1,0,0,1
삼성전자 갤럭시북4 NT750XGR-A51A WIN11,삼성전자,0,인텔,5,내장,16.0,54.0,1.55,15.6,1248970,101,사무,0,0,1,0,1,4.8,0,24.03.,24,4,0,1,0
LG전자 2025 그램 프로16 16ZD90TR-EX79K WIN11,LG전자,1,인텔,7,외장,32.0,90.0,1.36,16.0,3229000,0,"게임용 , 그래픽작업용 , 휴대용",1,1,0,1,0,0.0,1,26.01.,2,0,0,1,0
LG전자 2025 그램15 15ZD90T-GX59K WIN11,LG전자,1,인텔,5,내장,32.0,72.0,1.29,15.6,2140670,0,사무,0,0,1,0,0,0.0,0,25.01.,14,1,0,1,0
ASUS TUF Gaming A16 FA608PP-QT028 WIN11 32GB램,ASUS,0,AMD,9,외장,32.0,90.0,2.2,16.0,2657370,5,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,2,0,1,0
레노버 LEGION Pro 5 16IAX10 U9 5070 Plus,레노버,1,인텔,9,외장,32.0,80.0,2.43,16.0,2890000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.05.,10,5,1,0,0
"APPLE 맥북프로16 M5프로 18코어 CPU, 20코어 GPU 실버",APPLE,0,APPLE,9,내장,24.0,100.0,2.14,16.2,4289890,0,그래픽작업용,0,1,0,0,0,0.0,0,26.03.,0,1,0,0,1
LG전자 2026 그램15 15Z95U-GS5WK,LG전자,1,AMD,5,내장,16.0,72.0,1.29,15.6,1999810,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
MSI 소드 GF76 HX B14WGK-i9 QHD WIN11 32GB램,MSI,0,인텔,9,외장,32.0,75.0,2.7,17.3,2528530,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.06.,9,2,0,1,0
ASUS ROG STRIX G16 G615LW-S5027,ASUS,1,인텔,9,외장,32.0,90.0,2.73,16.0,4350000,19,"게임용 , 그래픽작업용",1,1,0,0,1,4.9,1,25.03.,12,5,1,0,0
HP 오멘 MAX 16-ah0125TX,HP,1,인텔,9,외장,32.0,83.0,2.75,16.0,4699000,4,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,25.04.,11,0,0,1,0
ASUS ROG 제피러스 G16 GU605CM-QR025W,ASUS,1,인텔,9,외장,32.0,90.0,1.85,16.0,3449830,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.07.,8,0,0,1,0
ASUS ROG 제피러스 G14 GA403UM-QS018W,ASUS,1,AMD,9,외장,32.0,73.0,1.5,14.0,2850000,7,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,25.05.,10,0,0,1,0
HP 오멘 MAX 16-ak0012AX,HP,1,AMD,9,외장,32.0,83.0,2.48,16.0,4190000,4,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,0,0,1,0
MSI 프레스티지 16 Flip AI+ C3MTG-U9 2.8K OLED W11,MSI,1,인텔,9,내장,32.0,81.0,1.66,16.0,2549770,2,사무,0,0,1,0,1,4.5,0,26.02.,1,4,0,1,0
MSI 소드 17 HX B13VGKG-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,65.0,2.6,17.0,2911630,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.10.,17,2,0,1,0
ASUS ROG Flow Z13 GZ302EA-RU110W,ASUS,1,AMD,9,내장,64.0,70.0,1.2,13.4,3739010,49,사무,0,0,1,0,1,4.9,0,25.02.,13,4,0,1,0
ASUS 비보북 플립 TP3607SA-RJ046W,ASUS,1,인텔,7,내장,16.0,75.0,1.76,16.0,1659470,1,사무,0,0,1,0,1,5.0,0,25.02.,13,4,0,1,0
ASUS ROG 제피러스 G14 GA403WR-QS128W,ASUS,1,AMD,9,외장,64.0,73.0,1.57,14.0,4197000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,0,0,1,0
삼성전자 갤럭시북5 프로 NT960XHZ-A72A,삼성전자,1,인텔,7,내장,32.0,76.0,1.56,16.0,2591980,1,사무,0,0,1,0,1,5.0,0,25.12.,3,4,1,0,0
에이서 프레데터 헬리오스 네오 16S 슬림 AI PHN16S-71-97L7 WIN11 64GB램,에이서,1,인텔,9,외장,64.0,76.0,2.15,16.0,3088890,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.07.,8,0,0,1,0
레노버 씽크패드 X1 카본 Gen13 ARL 21NXS1TX00,레노버,1,인텔,7,내장,32.0,57.0,1.006,14.0,3620000,0,사무,0,0,1,0,0,0.0,0,26.02.,1,1,0,1,0
HP HyperX 오멘 15-gb0043AX,HP,1,AMD,7,외장,24.0,70.0,2.42,15.3,1848000,4,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,26.01.,2,5,1,0,0
MSI 씬 15 B13VE WIN11 32GB램,MSI,0,인텔,7,외장,32.0,52.4,1.86,15.6,1780000,4,게임용,1,0,0,0,1,4.7,1,24.08.,19,2,0,1,0
LG전자 2025 그램 프로16 16Z90TP-KD7WK,LG전자,1,인텔,7,내장,32.0,77.0,1.199,16.0,2639000,523,사무,0,0,1,0,1,4.9,0,25.01.,14,4,0,1,0
MSI 벡터 A16 HX A8WHG-R9 QHD+,MSI,0,AMD,9,외장,16.0,90.0,2.7,16.0,2799820,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.08.,7,3,1,0,0
MSI 소드 GF76 HX B14WFK-i7 QHD WIN11 32GB램,MSI,0,인텔,7,외장,32.0,75.0,2.7,17.3,2205410,4,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.06.,9,2,0,1,0
MSI 소드 17 HX B14VGKG-i9 QHD WIN11,MSI,0,인텔,9,외장,32.0,65.0,2.6,17.0,2590000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI 알파 17 C7VG-R9 QHD,MSI,0,AMD,9,외장,16.0,99.9,2.8,17.3,1778990,44,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,23.08.,31,3,1,0,0
MSI 프레스티지 A16 AI+ A3HMG-R9 W11,MSI,1,AMD,9,내장,32.0,82.0,1.9,16.0,2390000,4,사무,0,0,1,0,1,5.0,0,24.12.,15,4,0,1,0
ASUS 젠북 S 14 UX5406SA-PV153W,ASUS,1,인텔,7,내장,32.0,72.0,1.2,14.0,2164000,12,사무,0,0,1,0,1,4.9,0,24.10.,17,4,0,1,0
삼성전자 갤럭시북5 프로360 NT960QHA-KH72A,삼성전자,1,인텔,7,내장,32.0,76.0,1.69,16.0,2779000,0,사무,0,0,1,0,0,0.0,0,24.11.,16,1,0,1,0
MSI 브라보 17 D7VF WIN11 32GB램,MSI,0,AMD,7,외장,32.0,53.5,2.7,17.3,1999000,6,게임용,1,0,0,0,1,4.8,1,23.10.,29,2,0,1,0
MSI GF시리즈 소드 GF66 A AI B8VF-R7 WIN11 32GB램,MSI,1,AMD,7,외장,32.0,53.5,2.25,15.6,1928730,7,게임용,1,0,0,0,1,4.8,1,24.02.,25,0,0,1,0
MSI 소드 17 HX B14VGKG-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,65.0,2.6,17.0,3100000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
ASUS TUF Gaming A14 FA401EA-RG032,ASUS,1,AMD,9,내장,64.0,73.0,1.48,14.0,2799000,0,사무,0,0,1,0,0,0.0,0,26.02.,1,1,1,0,0
MSI 크로스헤어 A18 HX A7WGKG-R9 QHD+ WIN11 32GB램,MSI,0,AMD,9,외장,32.0,90.0,3.1,18.0,2850000,12,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,2,0,1,0
ASUS TUF Gaming F16 FX608JMR-QT040,ASUS,0,인텔,7,외장,16.0,90.0,2.2,16.0,1898000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,25.06.,9,3,1,0,0
MSI 모던시리즈 모던 15 H C13M-i5 32GB램,MSI,0,인텔,5,내장,32.0,39.3,1.9,15.6,1088410,1,사무,0,0,1,0,1,5.0,0,25.02.,13,3,1,0,0
ASUS ROG STRIX G16 G614FR-S5122,ASUS,0,AMD,7,외장,16.0,90.0,2.5,16.0,3287000,15,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.04.,11,3,1,0,0
ASUS ROG STRIX G16 G614FR-S5122 WIN11 32GB램,ASUS,0,AMD,7,외장,32.0,90.0,2.5,16.0,3740000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,25.04.,11,2,0,1,0
MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11,MSI,1,AMD,7,외장,16.0,53.5,2.7,17.3,1526000,3,게임용,1,0,0,0,1,4.6,1,24.04.,23,0,0,1,0
ASUS 젠북 14 UM3406GA-QL151W,ASUS,1,AMD,7,내장,32.0,75.0,1.28,14.0,1949000,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
MSI 알파 17 C7VG-R9 QHD WIN11 32GB램,MSI,0,AMD,9,외장,32.0,99.9,2.8,17.3,2140000,15,"게임용 , 그래픽작업용",1,1,0,0,1,4.9,1,23.08.,31,2,0,1,0
MSI 프레스티지 16 AI+ Evo B2VM-U7 W11,MSI,1,인텔,7,내장,32.0,99.9,1.5,16.0,2148000,4,사무,0,0,1,0,1,4.7,0,24.12.,15,4,0,1,0
MSI 벡터 16 HX AI A2XWHG-U9 QHD+ WIN11 32GB램,MSI,1,인텔,9,외장,32.0,90.0,2.7,16.0,3188630,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,0,0,1,0
MSI 벡터 16 HX AI A2XWHG-U9 QHD+ WIN11,MSI,1,인텔,9,외장,16.0,90.0,2.7,16.0,2663760,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,0,0,1,0
MSI GF시리즈 소드 GF76 A AI B8VF-R7,MSI,1,AMD,7,외장,16.0,53.5,2.7,17.3,1499000,5,게임용,1,0,0,0,1,4.8,1,24.04.,23,5,1,0,0
MSI 소드 17 HX B13VGKG-i9 QHD WIN11 32GB램,MSI,0,인텔,9,외장,32.0,65.0,2.6,17.0,2414750,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.10.,17,2,0,1,0
ASUS 젠북 S 16 UM5606GA-SR338W,ASUS,1,AMD,7,내장,32.0,83.0,1.5,16.0,2616000,0,사무,0,0,1,0,0,0.0,0,26.01.,2,1,0,1,0
레노버 LEGION 7i 83KY001YKR,레노버,1,인텔,9,외장,32.0,84.0,1.99,16.0,3496490,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,0,0,1,0
MSI 벡터 16 HX AI A2XWHG-U9 QHD+ WIN11 64GB램,MSI,1,인텔,9,외장,64.0,90.0,2.7,16.0,3687520,2,"게임용 , 그래픽작업용",1,1,0,0,1,3.5,1,25.04.,11,0,0,1,0
MSI 크로스헤어 A18 HX A7WGKG-R9 QHD+,MSI,0,AMD,9,외장,16.0,90.0,3.1,18.0,2149000,10,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,25.07.,8,3,1,0,0
MSI GF시리즈 소드 GF66 A AI B8VF-R7 WIN11 64GB램,MSI,1,AMD,7,외장,64.0,53.5,2.25,15.6,2169800,2,게임용,1,0,0,0,1,4.5,1,24.02.,25,0,0,1,0
MSI GF시리즈 소드 GF76 A AI B8VF-R7 WIN11 64GB램,MSI,1,AMD,7,외장,64.0,53.5,2.7,17.3,2457990,7,게임용,1,0,0,0,1,4.7,1,24.04.,23,0,0,1,0
MSI 스텔스 18 HX AI A2XWHG-U9 QHD+,MSI,1,인텔,9,외장,32.0,99.9,2.89,18.0,3952440,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
MSI 모던시리즈 모던 15 H AI C2HMG-U5 WIN11 32GB램,MSI,1,인텔,5,내장,32.0,39.3,1.9,15.6,1279000,1,사무,0,0,1,0,1,5.0,0,25.02.,13,4,0,1,0
MSI GF시리즈 소드 GF76 A AI B8VF-R7 32GB램,MSI,1,AMD,7,외장,32.0,53.5,2.7,17.3,1876710,2,게임용,1,0,0,0,1,5.0,1,24.04.,23,5,1,0,0
MSI 벡터 16 HX AI A2XWHG-U9 QHD+,MSI,1,인텔,9,외장,16.0,90.0,2.7,16.0,2699200,15,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,25.04.,11,5,1,0,0
MSI 소드 GF76 HX B14WFK-i7 QHD WIN11 64GB램,MSI,0,인텔,7,외장,64.0,75.0,2.7,17.3,2890580,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.06.,9,2,0,1,0
MSI 씬 A15 B7UC-R5 WIN11 16GB램,MSI,0,AMD,5,외장,16.0,52.4,1.86,15.6,1237660,1,게임용,1,0,0,0,1,5.0,1,24.08.,19,2,0,1,0
MSI 크로스헤어 A18 HX A7WGKG-R9 QHD+ WIN11,MSI,0,AMD,9,외장,16.0,90.0,3.1,18.0,2249000,1,"게임용 , 그래픽작업용",1,1,0,0,1,3.0,1,25.07.,8,2,0,1,0
MSI 벡터 17 HX AI A2XWHG-U9 QHD+ W11,MSI,1,인텔,9,외장,32.0,90.0,3.0,17.0,3990000,6,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,0,0,1,0
MSI GF시리즈 Sword GF76 B13VFK WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1898890,104,게임용,1,0,0,0,1,4.7,1,23.02.,37,2,0,1,0
ASUS 비보북 S 16 S5606CA-RI162W,ASUS,1,인텔,7,내장,16.0,75.0,1.5,16.0,1758990,11,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
MSI 모던시리즈 모던 14 H D13MG-i9 WIN11 32GB램,MSI,0,인텔,9,내장,32.0,53.8,1.6,14.0,1408180,2,사무,0,0,1,0,1,4.0,0,24.01.,26,4,0,1,0
MSI 소드 GF66 HX B14WFK-i7 QHD WIN11 32GB램,MSI,0,인텔,7,외장,32.0,75.0,2.4,15.6,2191690,1,"게임용 , 그래픽작업용",1,1,0,0,1,1.0,1,25.08.,7,2,0,1,0
MSI 벡터 16 HX AI A2XWHG-U9 QHD+ 32GB램,MSI,1,인텔,9,외장,32.0,90.0,2.7,16.0,3184340,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
MSI 알파 17 C7VG-R9 QHD WIN11 64GB램,MSI,0,AMD,9,외장,64.0,99.9,2.8,17.3,2701310,17,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.08.,31,2,0,1,0
MSI GF시리즈 소드 GF66 A AI B8VF-R7,MSI,1,AMD,7,외장,16.0,53.5,2.25,15.6,1514700,1,게임용,1,0,0,0,1,5.0,1,24.02.,25,5,1,0,0
MSI 크로스헤어 A18 HX A7WGKG-R9 QHD+ 32GB램,MSI,0,AMD,9,외장,32.0,90.0,3.1,18.0,2836000,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,3,1,0,0
MSI GF시리즈 Sword GF76 B13VEK WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1837390,10,게임용,1,0,0,0,1,4.9,1,23.02.,37,2,0,1,0
MSI 알파 17 C7VG-R9 QHD 32GB램,MSI,0,AMD,9,외장,32.0,99.9,2.8,17.3,2114690,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.08.,31,3,1,0,0
MSI 레이더 A18 HX A9WHG-R9 QHD+,MSI,0,AMD,9,외장,16.0,99.9,3.6,18.0,3299000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.12.,3,3,1,0,0
MSI GF시리즈 Sword GF76 B13VFK WIN11,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1618890,13,게임용,1,0,0,0,1,4.8,1,23.02.,37,2,0,1,0
MSI GF시리즈 소드 GF66 A AI B8VF-R7 32GB램,MSI,1,AMD,7,외장,32.0,53.5,2.25,15.6,1898010,1,게임용,1,0,0,0,1,5.0,1,24.02.,25,5,1,0,0
MSI GF시리즈 Sword GF76 B13VEK WIN11,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1646220,3,게임용,1,0,0,0,1,3.6,1,23.02.,37,2,0,1,0
MSI 모던시리즈 모던 14 H D13MG-i9 WIN11 64GB램,MSI,0,인텔,9,내장,64.0,53.8,1.6,14.0,1837540,4,사무,0,0,1,0,1,5.0,0,24.01.,26,4,0,1,0
ASUS 비보북 S 14 S5406SA-QD136W,ASUS,1,인텔,7,내장,32.0,75.0,1.3,14.0,1789000,3,사무,0,0,1,0,1,5.0,0,24.11.,16,4,0,1,0
ASUS 젠북 S 16 UX5606SA-RJ170W,ASUS,1,인텔,7,내장,32.0,78.0,1.5,16.0,2750000,1,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
ASUS 젠북 14 UX3405CA-PZ507W,ASUS,1,인텔,9,내장,32.0,75.0,1.28,14.0,2300000,6,사무,0,0,1,0,1,5.0,0,25.01.,14,4,0,1,0
MSI 크로스헤어 18 HX AI A2XWFKG-U9 QHD+ WIN11 32GB램,MSI,1,인텔,9,외장,32.0,90.0,3.1,18.0,2898880,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,0,0,1,0
MSI 사이보그 17 B2RWFKG-C7 WIN11 16GB램,MSI,0,인텔,7,외장,16.0,55.2,2.5,17.3,1716480,1,게임용,1,0,0,0,1,5.0,1,25.10.,5,2,0,1,0
MSI 모던시리즈 모던 15 H C13M-i5 WIN11 32GB램,MSI,0,인텔,5,내장,32.0,39.3,1.9,15.6,1119430,1,사무,0,0,1,0,1,5.0,0,25.02.,13,4,0,1,0
레노버 요가 Slim 7i 15ILL9 Aura Edition,레노버,1,인텔,7,내장,32.0,70.0,1.53,15.3,2198000,1,사무,0,0,1,0,1,5.0,0,24.10.,17,4,0,1,0
MSI 프레스티지 16 AI B1MG WIN11,MSI,1,인텔,7,내장,16.0,99.9,1.5,16.0,1692890,1,사무,0,0,1,0,1,5.0,0,24.03.,24,4,0,1,0
MSI 프레스티지 프로 16 AI B2HVEG-U9 UHD+ OLED,MSI,1,인텔,9,외장,32.0,99.9,1.6,16.0,3903500,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.02.,13,5,1,0,0
MSI 모던시리즈 모던 15 H AI C2HMG-U7 WIN11 32GB램,MSI,1,인텔,7,내장,32.0,39.3,1.9,15.6,1618000,3,사무,0,0,1,0,1,4.3,0,25.02.,13,4,0,1,0
MSI 크로스헤어 17 HX AI D2XWFKG-U7 QHD+ WIN11 32GB램,MSI,1,인텔,7,외장,32.0,90.0,2.8,17.0,2667000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,0,0,1,0
MSI 사이보그 15 B2RWEKG-C7 16GB램,MSI,0,인텔,7,외장,16.0,55.2,2.1,15.6,1484200,1,게임용,1,0,0,0,1,4.0,1,25.07.,8,3,1,0,0
MSI 벡터 A18 HX A9WHG-R9 QHD+ 64GB램,MSI,0,AMD,9,외장,64.0,99.9,3.6,18.0,4585000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.05.,10,3,1,0,0
MSI 크로스헤어 18 HX AI A2XWFKG-U9 QHD+ WIN11 64GB램,MSI,1,인텔,9,외장,64.0,90.0,3.1,18.0,3665370,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.07.,8,0,0,1,0
MSI 알파 17 C7VG-R9 QHD 64GB램,MSI,0,AMD,9,외장,64.0,99.9,2.8,17.3,2794570,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,23.08.,31,3,1,0,0
MSI 스텔스 A16 AI+ A3XWHG-R9 QHD+ OLED,MSI,1,AMD,9,외장,32.0,99.9,2.1,16.0,3799000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,25.04.,11,5,1,0,0
